Timestamp,Eye_R,Eye_G,Eye_B,Eye_Hex,Lips_R,Lips_G,Lips_B,Lips_Hex,Cheek_R,Cheek_G,Cheek_B,Cheek_Hex,Hair_R,Hair_G,Hair_B,Hair_Hex
2025-04-05 14:32:53,43,31,37,#2B1F25,167,127,114,#A77F72,219,148,121,#DB9479,70,53,41,#463529
2025-04-05 14:32:53,39,34,36,#272224,144,100,100,#906464,220,151,120,#DC9778,71,54,43,#47362B
2025-04-05 14:32:53,33,33,34,#212122,130,80,81,#825051,219,149,118,#DB9576,71,50,43,#47322B
2025-04-05 14:32:53,40,33,33,#282121,137,82,82,#895252,217,148,121,#D99479,69,53,44,#45352C
2025-04-05 14:32:53,42,37,36,#2A2524,153,91,89,#995B59,217,148,119,#D99477,69,52,44,#45342C
2025-04-05 14:32:53,34,36,39,#222427,156,95,86,#9C5F56,215,147,120,#D79378,70,50,43,#46322B
2025-04-05 14:32:53,37,36,35,#252423,169,102,97,#A96661,214,145,115,#D69173,74,50,42,#4A322A
2025-04-05 14:32:53,41,35,37,#292325,170,105,101,#AA6965,215,144,116,#D79074,70,53,45,#46352D
2025-04-05 14:32:53,39,38,36,#272624,167,103,98,#A76762,210,141,114,#D28D72,76,53,44,#4C352C
2025-04-05 14:32:53,40,40,41,#282829,164,96,93,#A4605D,210,142,113,#D28E71,68,53,44,#44352C
2025-04-05 14:32:53,41,37,43,#29252B,164,88,83,#A45853,212,143,115,#D48F73,77,55,40,#4D3728
2025-04-05 14:32:53,42,42,38,#2A2A26,162,88,82,#A25852,211,143,118,#D38F76,79,60,50,#4F3C32
2025-04-05 14:32:53,46,40,44,#2E282C,171,93,93,#AB5D5D,212,144,116,#D49074,76,59,49,#4C3B31
2025-04-05 14:32:53,41,37,40,#292528,163,86,78,#A3564E,211,141,118,#D38D76,76,62,44,#4C3E2C
2025-04-05 14:32:53,47,41,40,#2F2928,168,94,85,#A85E55,212,145,120,#D49178,86,68,49,#564431
2025-04-05 14:32:53,44,39,42,#2C272A,160,90,86,#A05A56,206,140,115,#CE8C73,90,69,56,#5A4538
2025-04-05 14:32:53,49,41,40,#312928,161,88,84,#A15854,203,136,115,#CB8873,90,66,51,#5A4233
2025-04-05 14:32:53,38,38,34,#262622,177,97,93,#B1615D,203,136,116,#CB8874,88,69,57,#584539
